row_id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_imputed,age_clean,embarked_imputed,embarked_clean,embark_town_clean,deck_known,deck_clean,who_clean,adult_male_clean,family_size,family_group,age_group,fare_log1p,fare_log1p_f4,age_z,fare_log1p_z,is_minor,sex_pclass,family_size_sq,has_family
19,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,False,31.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),2.9444389791664403,2.9444389791664403,0.1419554792514301,-0.018385836972892044,0,female_pclass_3,4.0,1
20,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,True,21.5,False,C,Cherbourg,False,Unknown,woman,False,1,Solo,Joven (16-34),2.107178296651436,2.1071782966514356,-0.5724937540977957,-0.8828741679067219,0,female_pclass_3,1.0,0
21,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False,35.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Adulto (35-59),3.295836866004329,3.295836866004329,0.44277620908268306,0.34443948019553633,0,male_pclass_2,1.0,0
22,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,False,34.0,False,S,Southampton,True,D,man,True,1,Solo,Joven (16-34),2.6390573296152584,2.6390573296152584,0.3675710266248698,-0.33369847260903374,0,male_pclass_2,1.0,0
23,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,False,15.0,False,Q,Queenstown,False,Unknown,child,False,1,Solo,Niño (<16),2.200463769927285,2.2004637699272855,-1.0613274400735817,-0.786555058725136,1,female_pclass_3,1.0,0
24,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,False,28.0,False,S,Southampton,True,A,man,True,1,Solo,Joven (16-34),3.597312260588446,3.597312260588446,-0.0836600681220096,0.6557188297748955,0,male_pclass_1,1.0,0
25,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,False,8.0,False,S,Southampton,False,Unknown,child,False,5,Grande (5+),Niño (<16),3.0944457464900235,3.0944457464900235,-1.5877637172782744,0.13649913806595412,1,female_pclass_3,25.0,1
26,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,False,38.0,False,S,Southampton,False,Unknown,woman,False,7,Grande (5+),Adulto (35-59),3.4777725458882283,3.4777725458882283,0.6683917564561227,0.5322916934007407,0,female_pclass_3,49.0,1
27,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,True,25.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.107178296651436,2.1071782966514356,-0.3092756154954493,-0.8828741679067219,0,male_pclass_3,1.0,0
28,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,False,19.0,False,S,Southampton,True,C,man,True,6,Grande (5+),Joven (16-34),5.575949103146316,5.575949103146316,-0.7605067102423287,2.698700779445489,0,male_pclass_1,36.0,1
29,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1837114628556327,2.1837114628556327,-0.5724937540977957,-0.8038521494426434,0,female_pclass_3,1.0,0
30,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.1855792552411137,2.1855792552411137,-0.3092756154954493,-0.801923616602662,0,male_pclass_3,1.0,0
31,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,False,40.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Adulto (35-59),3.357621598945279,3.357621598945279,0.8188021213717492,0.4082334475616763,0,male_pclass_1,1.0,0
32,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,True,35.0,False,C,Cherbourg,True,B,woman,False,2,Pequeña (2-4),Adulto (35-59),4.993969182787072,4.993969182787072,0.44277620908268306,2.0977949200217725,0,female_pclass_1,4.0,1
33,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.169053700369523,2.169053700369523,-0.5724937540977957,-0.8189865811572417,0,female_pclass_3,1.0,0
34,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False,66.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Mayor (60+),2.4423470353692043,2.4423470353692043,2.7741368652748934,-0.5368057694182642,0,male_pclass_2,1.0,0
35,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,False,28.0,False,C,Cherbourg,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),4.420896324687287,4.420896324687287,-0.0836600681220096,1.506085779788397,0,male_pclass_1,4.0,1
36,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,False,42.0,False,S,Southampton,False,Unknown,man,True,2,Pequeña (2-4),Adulto (35-59),3.970291913552122,3.970291913552122,0.9692124862873757,1.0408277503255376,0,male_pclass_1,4.0,1
37,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,True,25.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1076888046179385,2.1076888046179385,-0.3092756154954493,-0.8823470582632058,0,male_pclass_3,1.0,0
38,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,21.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.6100963453267022,-0.7841792430073969,0,male_pclass_3,1.0,0
39,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,False,18.0,False,S,Southampton,False,Unknown,woman,False,3,Pequeña (2-4),Joven (16-34),2.9444389791664403,2.9444389791664403,-0.8357118927001419,-0.018385836972892044,0,female_pclass_3,9.0,1
40,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,False,14.0,False,C,Cherbourg,False,Unknown,child,False,2,Pequeña (2-4),Niño (<16),2.5048481563289,2.5048481563289,-1.136532622531395,-0.47227211715402745,1,female_pclass_3,4.0,1
41,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,False,40.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Adulto (35-59),2.348991465808201,2.348991465808201,0.8188021213717492,-0.6331972544104216,0,female_pclass_3,4.0,1
42,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,False,27.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),3.091042453358316,3.091042453358316,-0.15886525057982284,0.13298517012197922,0,female_pclass_2,4.0,1
43,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,True,25.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1855792552411137,2.1855792552411137,-0.3092756154954493,-0.801923616602662,0,male_pclass_3,1.0,0
44,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,False,3.0,False,C,Cherbourg,False,Unknown,child,False,4,Pequeña (2-4),Niño (<16),3.751365871125377,3.7513658711253766,-1.9637896295673405,0.8147822510349935,1,female_pclass_2,16.0,1
45,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,False,19.0,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1837114628556327,2.1837114628556327,-0.7605067102423287,-0.8038521494426434,0,female_pclass_3,1.0,0
46,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.3092756154954493,-0.7841792430073969,0,male_pclass_3,1.0,0
47,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,True,25.0,False,Q,Queenstown,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),2.803360380906535,2.803360380906535,-0.3092756154954493,-0.1640522996256445,0,male_pclass_3,4.0,1
48,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.169053700369523,2.169053700369523,-0.5724937540977957,-0.8189865811572417,0,female_pclass_3,1.0,0
49,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,True,25.0,False,C,Cherbourg,False,Unknown,man,True,3,Pequeña (2-4),Joven (16-34),3.121448204868825,3.1214482048688246,-0.3092756154954493,0.16437971416667368,0,male_pclass_3,9.0,1
50,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,False,18.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),2.933856869835904,2.9338568698359038,-0.8357118927001419,-0.02931207562706515,0,female_pclass_3,4.0,1
51,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,False,7.0,False,S,Southampton,False,Unknown,child,False,6,Grande (5+),Niño (<16),3.705920919968788,3.705920919968788,-1.6629688997360874,0.7678594338107122,1,male_pclass_3,36.0,1
52,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,False,21.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.174751721484161,2.174751721484161,-0.6100963453267022,-0.8131032608653794,0,male_pclass_3,1.0,0
53,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,False,49.0,False,C,Cherbourg,True,D,woman,False,2,Pequeña (2-4),Adulto (35-59),4.353230991152628,4.353230991152628,1.4956487634920683,1.4362199751817064,0,female_pclass_1,4.0,1
54,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False,29.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),3.295836866004329,3.295836866004329,-0.00845488566419637,0.34443948019553633,0,female_pclass_2,4.0,1
55,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,False,65.0,False,C,Cherbourg,True,B,man,True,2,Pequeña (2-4),Mayor (60+),4.142804513146981,4.142804513146981,2.69893168281708,1.2189504454470095,0,male_pclass_1,4.0,1
56,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,True,40.0,False,S,Southampton,True,C,man,True,1,Solo,Adulto (35-59),3.597312260588446,3.597312260588446,0.8188021213717492,0.6557188297748955,0,male_pclass_1,1.0,0
57,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False,21.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.4423470353692043,2.4423470353692043,-0.6100963453267022,-0.5368057694182642,0,female_pclass_2,1.0,0
58,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False,28.5,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1076888046179385,2.1076888046179385,-0.04605747689310299,-0.8823470582632058,0,male_pclass_3,1.0,0
59,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,False,5.0,False,S,Southampton,False,Unknown,child,False,4,Pequeña (2-4),Niño (<16),3.3586377672433594,3.3586377672433594,-1.813379264651714,0.4092826615690945,1,female_pclass_2,16.0,1
60,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,False,11.0,False,S,Southampton,False,Unknown,child,False,8,Grande (5+),Niño (<16),3.8691155044168695,3.8691155044168695,-1.3621481699048346,0.9363610927004852,1,male_pclass_3,64.0,1
61,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False,22.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1076888046179385,2.1076888046179385,-0.534891162868889,-0.8823470582632058,0,male_pclass_3,1.0,0
62,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,False,38.0,True,S,Southampton,True,B,woman,False,1,Solo,Adulto (35-59),4.394449154672439,4.394449154672439,0.6683917564561227,1.47877854998348,0,female_pclass_1,1.0,0
63,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,False,45.0,False,S,Southampton,True,C,man,True,2,Pequeña (2-4),Adulto (35-59),4.436455632600354,4.436455632600354,1.1948280336608155,1.5221510751129652,0,male_pclass_1,4.0,1
64,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,False,4.0,False,S,Southampton,False,Unknown,child,False,6,Grande (5+),Niño (<16),3.3638415951183864,3.3638415951183864,-1.8885844471095272,0.41465571749790725,1,male_pclass_3,36.0,1
65,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,True,40.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Adulto (35-59),3.357621598945279,3.357621598945279,0.8188021213717492,0.4082334475616763,0,male_pclass_1,1.0,0
66,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,True,25.0,False,C,Cherbourg,False,Unknown,man,True,3,Pequeña (2-4),Joven (16-34),2.787834413830345,2.7878344138303452,-0.3092756154954493,-0.18008316987206646,0,male_pclass_3,9.0,1
67,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,False,29.0,False,S,Southampton,True,F,woman,False,1,Solo,Joven (16-34),2.4423470353692043,2.4423470353692043,-0.00845488566419637,-0.5368057694182642,0,female_pclass_2,1.0,0
68,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,False,19.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2146605719425225,2.2146605719425225,-0.7605067102423287,-0.7718965778779474,0,male_pclass_3,1.0,0
69,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,False,17.0,False,S,Southampton,False,Unknown,woman,False,7,Grande (5+),Joven (16-34),2.188856327665703,2.188856327665703,-0.9109170751579552,-0.7985399740528022,0,female_pclass_3,49.0,1
70,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,False,26.0,False,S,Southampton,False,Unknown,man,True,3,Pequeña (2-4),Joven (16-34),2.2682524139135403,2.2682524139135403,-0.23407043303763608,-0.7165619336211219,0,male_pclass_3,9.0,1
71,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False,32.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.4423470353692043,2.4423470353692043,0.21716066170924334,-0.5368057694182642,0,male_pclass_2,1.0,0
72,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,False,16.0,False,S,Southampton,False,Unknown,woman,False,8,Grande (5+),Joven (16-34),3.8691155044168695,3.8691155044168695,-0.9861222576157684,0.9363610927004852,0,female_pclass_3,64.0,1
73,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,False,21.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),4.310799125385514,4.310799125385514,-0.6100963453267022,1.392408228635536,0,male_pclass_2,1.0,0
74,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,False,26.0,False,C,Cherbourg,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),2.737880811060884,2.737880811060884,-0.23407043303763608,-0.23166125968823228,0,male_pclass_3,4.0,1
75,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,False,32.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),4.05171190165724,4.05171190165724,0.21716066170924334,1.1248955097361606,0,male_pclass_3,1.0,0
76,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,False,25.0,False,S,Southampton,True,F,man,True,1,Solo,Joven (16-34),2.157559320943788,2.157559320943788,-0.3092756154954493,-0.8308547568549532,0,male_pclass_3,1.0,0
77,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.1855792552411137,2.1855792552411137,-0.3092756154954493,-0.801923616602662,0,male_pclass_3,1.0,0
78,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.3092756154954493,-0.7841792430073969,0,male_pclass_3,1.0,0
79,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,False,0.83,False,S,Southampton,False,Unknown,child,False,3,Pequeña (2-4),Niño (<16),3.4011973816621555,3.4011973816621555,-2.126984875500795,0.4532263111425749,1,male_pclass_2,9.0,1
80,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,False,30.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.600836116795061,2.600836116795061,0.06675029679361687,-0.3731626361213423,0,female_pclass_3,1.0,0
81,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,False,22.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.302585092994046,2.302585092994046,-0.534891162868889,-0.6811127586453685,0,male_pclass_3,1.0,0
82,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,False,29.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.3513752571634776,2.3513752571634776,-0.00845488566419637,-0.630735942356657,0,male_pclass_3,1.0,0
83,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1733302571367834,2.1733302571367834,-0.5724937540977957,-0.8145709511162283,0,female_pclass_3,1.0,0
84,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,False,28.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),3.873282177111716,3.8732821771117156,-0.0836600681220096,0.9406632652481022,0,male_pclass_1,1.0,0
85,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False,17.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.4423470353692043,2.4423470353692043,-0.9109170751579552,-0.5368057694182642,0,female_pclass_2,1.0,0
86,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,False,33.0,False,S,Southampton,False,Unknown,woman,False,4,Pequeña (2-4),Joven (16-34),2.8243506567983707,2.8243506567983707,0.2923658441670566,-0.14237942169106094,0,female_pclass_3,16.0,1
87,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,False,16.0,False,S,Southampton,False,Unknown,man,True,5,Grande (5+),Joven (16-34),3.566005355963401,3.5660053559634015,-0.9861222576157684,0.6233938271906205,0,male_pclass_3,25.0,1
88,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.3092756154954493,-0.7841792430073969,0,male_pclass_3,1.0,0
89,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,False,23.0,False,S,Southampton,True,C,woman,False,6,Grande (5+),Joven (16-34),5.575949103146316,5.575949103146316,-0.4596859804110758,2.698700779445489,0,female_pclass_1,36.0,1
90,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,24.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.38448079795326257,-0.7841792430073969,0,male_pclass_3,1.0,0
91,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,29.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.00845488566419637,-0.7841792430073969,0,male_pclass_3,1.0,0
92,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,False,20.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.180891922715322,2.180891922715322,-0.6853015277845155,-0.8067633807960332,0,male_pclass_3,1.0,0
93,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,False,46.0,False,S,Southampton,True,E,man,True,2,Pequeña (2-4),Adulto (35-59),4.1299529896894684,4.1299529896894684,1.2700332161186285,1.2056809915054139,0,male_pclass_1,4.0,1
94,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,False,26.0,False,S,Southampton,False,Unknown,man,True,4,Pequeña (2-4),Joven (16-34),3.0715352369694915,3.0715352369694915,-0.23407043303763608,0.11284358066326508,0,male_pclass_3,16.0,1
95,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False,59.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Adulto (35-59),2.110213200346589,2.1102132003465894,2.2477005880702006,-0.879740569393428,0,male_pclass_3,1.0,0
96,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.3092756154954493,-0.7841792430073969,0,male_pclass_3,1.0,0
97,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,False,71.0,False,C,Cherbourg,True,A,man,True,1,Solo,Mayor (60+),3.57386695198272,3.57386695198272,3.1501627775639593,0.6315110816648205,0,male_pclass_1,1.0,0
98,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,False,23.0,False,C,Cherbourg,True,D,man,True,2,Pequeña (2-4),Joven (16-34),4.164465907853638,4.164465907853638,-0.4596859804110758,1.2413162669249835,0,male_pclass_1,4.0,1
99,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,False,34.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),3.1780538303479458,3.1780538303479458,0.3675710266248698,0.22282614992299976,0,female_pclass_2,4.0,1
100,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,False,34.0,False,S,Southampton,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),3.295836866004329,3.295836866004329,0.3675710266248698,0.34443948019553633,0,male_pclass_2,4.0,1
101,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,False,28.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1855792552411137,2.1855792552411137,-0.0836600681220096,-0.801923616602662,0,female_pclass_3,1.0,0
